id,gsm_out,lte,nr_dss,nr_nsa_sa,nr_gesamt
100mN58742E4943,3,3,2,3,3
100mN58742E4944,3,3,2,3,3
100mN58742E4945,3,3,2,3,3
100mN58742E4946,3,3,2,3,3
100mN58742E4947,3,3,2,3,3
100mN58742E4948,3,3,2,3,3
100mN58742E4949,3,3,2,3,3
100mN58742E4950,3,3,2,3,3
100mN58742E4951,3,3,2,3,3
100mN58742E4952,3,3,2,3,3
100mN58742E4953,3,3,2,3,3
100mN58742E4954,3,3,2,3,3
100mN58742E4955,3,3,2,3,3
100mN58742E4956,3,3,2,3,3
100mN58742E4957,3,3,2,3,3
100mN58743E4898,3,3,2,3,3
100mN58743E4899,3,3,2,3,3
100mN58743E4925,3,3,2,3,3
100mN58743E4926,3,3,2,3,3
100mN58743E4927,3,3,2,3,3
100mN58743E4928,3,3,2,3,3
100mN58743E4929,3,3,2,3,3
100mN58743E4930,3,3,2,3,3
100mN58743E4931,3,3,2,3,3
100mN58743E4932,3,3,2,3,3
100mN58743E4933,3,3,2,3,3
100mN58743E4934,3,3,2,3,3
100mN58743E4935,3,3,2,3,3
100mN58743E4936,3,3,2,3,3
100mN58743E4937,3,3,2,3,3
100mN58743E4938,3,3,2,3,3
100mN58743E4939,3,3,2,3,3
100mN58743E4940,3,3,2,3,3
100mN58743E4941,3,3,2,3,3
100mN58743E4942,3,3,2,3,3
100mN58743E4943,3,3,2,3,3
100mN58743E4944,3,3,2,3,3
100mN58743E4945,3,3,2,3,3
100mN58743E4946,3,3,2,3,3
100mN58743E4947,3,3,2,3,3
100mN58743E4948,3,3,2,3,3
100mN58743E4949,3,3,2,3,3
100mN58743E4950,3,3,2,3,3
100mN58743E4951,3,3,2,3,3
100mN58743E4952,3,3,2,3,3
100mN58743E4953,3,3,2,3,3
100mN58743E4954,3,3,2,3,3
100mN58743E4955,3,3,2,3,3
100mN58743E4956,3,3,2,3,3
100mN58743E4957,3,3,2,3,3
100mN58744E4889,3,3,2,3,3
100mN58744E4890,3,3,2,3,3
100mN58744E4891,3,3,2,3,3
100mN58744E4898,3,3,2,3,3
100mN58744E4899,3,3,2,3,3
100mN58744E4900,3,3,2,3,3
100mN58744E4925,3,3,2,3,3
100mN58744E4926,3,3,2,3,3
100mN58744E4927,3,3,2,3,3
100mN58744E4928,3,3,2,3,3
100mN58744E4929,3,3,2,3,3
100mN58744E4930,3,3,2,3,3
100mN58744E4931,3,3,2,3,3
100mN58744E4932,3,3,2,3,3
100mN58744E4933,3,3,2,3,3
100mN58744E4934,3,3,2,3,3
100mN58744E4935,3,3,2,3,3
100mN58744E4936,3,3,2,3,3
100mN58744E4937,3,3,2,3,3
100mN58744E4938,3,3,2,3,3
100mN58744E4939,3,3,2,3,3
100mN58744E4940,3,3,2,3,3
100mN58744E4941,3,3,2,3,3
100mN58744E4942,3,3,2,3,3
100mN58744E4943,3,3,2,3,3
100mN58744E4944,3,3,2,3,3
100mN58744E4945,3,3,2,3,3
100mN58744E4946,3,3,2,3,3
100mN58744E4947,3,3,2,3,3
100mN58744E4948,3,3,2,3,3
100mN58744E4949,3,3,2,3,3
100mN58744E4950,3,3,2,3,3
100mN58744E4951,3,3,2,3,3
100mN58744E4952,3,3,2,3,3
100mN58744E4953,3,3,2,3,3
100mN58744E4954,3,3,2,3,3
100mN58744E4955,3,3,2,3,3
100mN58744E4956,3,3,2,3,3
100mN58744E4957,3,3,2,3,3
100mN58745E4888,3,3,2,3,3
100mN58745E4889,3,3,2,3,3
100mN58745E4890,3,3,2,3,3
100mN58745E4891,3,3,2,3,3
100mN58745E4892,3,3,2,3,3
100mN58745E4898,3,3,2,3,3
100mN58745E4899,3,3,2,3,3
100mN58745E4900,3,3,2,3,3
100mN58745E4925,3,3,2,3,3
100mN58745E4926,3,3,2,3,3
100mN58745E4927,3,3,2,3,3
100mN58745E4928,3,3,2,3,3
100mN58745E4929,3,3,2,3,3
100mN58745E4930,3,3,2,3,3
100mN58745E4931,3,3,2,3,3
100mN58745E4932,3,3,2,3,3
100mN58745E4933,3,3,2,3,3
100mN58745E4934,3,3,2,3,3
100mN58745E4935,3,3,2,3,3
100mN58745E4936,3,3,2,3,3
100mN58745E4937,3,3,2,3,3
100mN58745E4938,3,3,2,3,3
100mN58745E4939,3,3,2,3,3
100mN58745E4940,3,3,2,3,3
100mN58745E4941,3,3,2,3,3
100mN58745E4942,3,3,2,3,3
100mN58745E4943,3,3,2,3,3
100mN58745E4944,3,3,2,3,3
100mN58745E4945,3,3,2,3,3
100mN58745E4946,3,3,2,3,3
100mN58745E4947,3,3,2,3,3
100mN58745E4948,3,3,2,3,3
100mN58745E4949,3,3,2,3,3
100mN58745E4950,3,3,2,3,3
100mN58745E4951,3,3,2,3,3
100mN58745E4952,3,3,2,3,3
100mN58745E4953,3,3,2,3,3
100mN58745E4954,3,3,2,3,3
100mN58745E4955,3,3,2,3,3
100mN58745E4956,3,3,2,3,3
100mN58745E4957,3,3,2,3,3
100mN58746E4881,3,3,2,3,3
100mN58746E4882,3,3,2,3,3
100mN58746E4883,3,3,2,3,3
100mN58746E4884,3,3,2,3,3
100mN58746E4885,3,3,2,3,3
100mN58746E4886,3,3,2,3,3
100mN58746E4887,3,3,2,3,3
100mN58746E4888,3,3,2,3,3
100mN58746E4889,3,3,2,3,3
100mN58746E4890,3,3,2,3,3
100mN58746E4891,3,3,2,3,3
100mN58746E4892,3,3,2,3,3
100mN58746E4893,3,3,2,3,3
100mN58746E4899,3,3,2,3,3
100mN58746E4900,3,3,2,3,3
100mN58746E4901,3,3,2,3,3
100mN58746E4902,3,3,2,3,3
100mN58746E4924,3,3,2,3,3
100mN58746E4925,3,3,2,3,3
100mN58746E4926,3,3,2,3,3
100mN58746E4927,3,3,2,3,3
100mN58746E4928,3,3,2,3,3
100mN58746E4929,3,3,2,3,3
100mN58746E4930,3,3,2,3,3
100mN58746E4931,3,3,2,3,3
100mN58746E4932,3,3,2,3,3
100mN58746E4933,3,3,2,3,3
100mN58746E4934,3,3,2,3,3
100mN58746E4935,3,3,2,3,3
100mN58746E4936,3,3,2,3,3
100mN58746E4937,3,3,2,3,3
100mN58746E4938,3,3,2,3,3
100mN58746E4939,3,3,2,3,3
100mN58746E4940,3,3,2,3,3
100mN58746E4941,3,3,2,3,3
100mN58746E4942,3,3,2,3,3
100mN58746E4943,3,3,2,3,3
100mN58746E4944,3,3,2,3,3
100mN58746E4945,3,3,2,3,3
100mN58746E4946,3,3,2,3,3
100mN58746E4947,3,3,2,3,3
100mN58746E4948,3,3,2,3,3
100mN58746E4949,3,3,2,3,3
100mN58746E4950,3,3,2,3,3
100mN58746E4951,3,3,2,3,3
100mN58746E4952,3,3,2,3,3
100mN58746E4953,3,3,2,3,3
100mN58746E4954,3,3,2,3,3
100mN58746E4955,3,3,2,3,3
100mN58746E4956,3,3,2,3,3
100mN58746E4957,3,3,2,3,3
100mN58747E4879,3,3,2,3,3
100mN58747E4880,3,3,2,3,3
100mN58747E4881,3,3,2,3,3
100mN58747E4882,3,3,2,3,3
100mN58747E4883,3,3,2,3,3
100mN58747E4884,3,3,2,3,3
100mN58747E4885,3,3,2,3,3
100mN58747E4886,3,3,2,3,3
100mN58747E4887,3,3,2,3,3
100mN58747E4888,3,3,2,3,3
100mN58747E4889,3,3,2,3,3
100mN58747E4890,3,3,2,3,3
100mN58747E4891,3,3,2,3,3
100mN58747E4892,3,3,2,3,3
100mN58747E4893,3,3,2,3,3
100mN58747E4894,3,3,2,3,3
100mN58747E4899,3,3,2,3,3
100mN58747E4900,3,3,2,3,3
100mN58747E4901,3,3,2,3,3
100mN58747E4902,3,3,2,3,3
100mN58747E4903,3,3,2,3,3
100mN58747E4904,3,3,1,3,3
100mN58747E4905,3,3,2,3,3
100mN58747E4906,3,3,2,3,3
100mN58747E4907,3,3,2,3,3
100mN58747E4908,3,3,2,3,3
100mN58747E4909,3,3,2,3,3
100mN58747E4923,3,3,2,3,3
100mN58747E4924,3,3,2,3,3
100mN58747E4925,3,3,2,3,3
100mN58747E4926,3,3,2,3,3
100mN58747E4927,3,3,2,3,3
100mN58747E4928,3,3,2,3,3
100mN58747E4929,3,3,2,3,3
100mN58747E4930,3,3,2,3,3
100mN58747E4931,3,3,2,3,3
